                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2321,                 4.7617,                 2.2385,                      0,                      0,                      0,                      0,                 3.5527,                 6.1212,                 3.2045,                      0,                      0,                      0
                      2,                 2.4293,                 4.9906,                 2.5482,                      0,                      0,                      0,                      0,                 3.5644,                 6.0981,                 3.2178,             1.1861e-06,             1.1861e-06,             1.1861e-06
                      3,                 1.9856,                 5.0143,                 2.3315,                      0,                      0,                      0,                      0,                 3.5783,                 6.0927,                 3.2237,             2.3643e-06,             2.3643e-06,             2.3643e-06
                      4,                 2.0484,                 4.8834,                 2.2262,                      0,                      0,                      0,                      0,                 3.5685,                 6.1088,                 3.2259,             3.5347e-06,             3.5347e-06,             3.5347e-06
                      5,                 2.5455,                 5.1769,                 2.3112,                      0,                      0,                      0,                      0,                 3.5675,                 6.0854,                 3.2359,             4.6972e-06,             4.6972e-06,             4.6972e-06
                      6,                 1.9441,                 4.8647,                 2.3705,                      0,                      0,                      0,                      0,                 3.5758,                 6.0996,                 3.2391,             5.8518e-06,             5.8518e-06,             5.8518e-06
                      7,                  2.612,                 5.1968,                 2.5738,                      0,                      0,                      0,                      0,                 3.5594,                 6.0942,                 3.2232,             6.9986e-06,             6.9986e-06,             6.9986e-06
                      8,                 2.7671,                 5.5457,                 2.6868,                      0,                      0,                      0,                      0,                 3.5613,                 6.0878,                 3.2099,             8.1376e-06,             8.1376e-06,             8.1376e-06
                      9,                 2.3141,                  5.102,                 2.4066,                      0,                      0,                      0,                      0,                 3.5613,                 6.0878,                 3.2099,             9.2687e-06,             9.2687e-06,             9.2687e-06
                     10,                  2.033,                 4.7534,                 2.3577,                      0,                      0,                      0,                      0,                 3.5902,                 6.0796,                 3.1998,             1.0392e-05,             1.0392e-05,             1.0392e-05
                     11,                   2.46,                 5.1126,                 2.2979,                      0,                      0,                      0,                      0,                 3.5902,                 6.0796,                 3.1998,             1.1507e-05,             1.1507e-05,             1.1507e-05
                     12,                 2.1165,                 5.2092,                 2.2081,                      0,                      0,                      0,                      0,                 3.5587,                 6.0752,                 3.1815,             1.2615e-05,             1.2615e-05,             1.2615e-05
                     13,                 2.2451,                 4.9197,                 2.1958,                      0,                      0,                      0,                      0,                 3.5587,                 6.0752,                 3.1815,             1.3715e-05,             1.3715e-05,             1.3715e-05
                     14,                 2.3761,                  4.872,                 2.5458,                      0,                      0,                      0,                      0,                 3.5926,                 6.1345,                 3.1969,             1.4806e-05,             1.4806e-05,             1.4806e-05
                     15,                 2.4052,                 5.0878,                 2.5188,                      0,                      0,                      0,                      0,                 3.5926,                 6.1345,                 3.1969,              1.589e-05,              1.589e-05,              1.589e-05
                     16,                 2.2444,                 4.8807,                 2.2391,                      0,                      0,                      0,                      0,                 3.6906,                 6.2182,                 3.2052,             1.6966e-05,             1.6966e-05,             1.6966e-05
                     17,                 2.4117,                 4.9015,                 2.3981,                      0,                      0,                      0,                      0,                 3.6906,                 6.2182,                 3.2052,             1.8035e-05,             1.8035e-05,             1.8035e-05
                     18,                 2.2925,                 5.2034,                  2.378,                      0,                      0,                      0,                      0,                 3.7051,                 6.2358,                 3.2008,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     19,                 1.8942,                 4.7758,                 2.2359,                      0,                      0,                      0,                      0,                 3.7051,                 6.2358,                 3.2008,             2.0148e-05,             2.0148e-05,             2.0148e-05
                     20,                 2.3794,                 5.1576,                 2.3756,                      0,                      0,                      0,                      0,                 3.7293,                 6.2404,                 3.2004,             2.1192e-05,             2.1192e-05,             2.1192e-05
                     21,                  2.077,                 4.8039,                 2.2361,                      0,                      0,                      0,                      0,                 3.7293,                 6.2404,                 3.2004,             2.2229e-05,             2.2229e-05,             2.2229e-05
                     22,                 2.2725,                 4.8081,                 2.3339,                      0,                      0,                      0,                      0,                 3.7548,                 6.2487,                 3.1942,             2.3258e-05,             2.3258e-05,             2.3258e-05
                     23,                  2.162,                 4.8946,                 2.3195,                      0,                      0,                      0,                      0,                 3.7548,                 6.2487,                 3.1942,             2.4279e-05,             2.4279e-05,             2.4279e-05
                     24,                 2.3554,                 4.8518,                  2.371,                      0,                      0,                      0,                      0,                 3.7548,                 6.2487,                 3.1942,             2.5293e-05,             2.5293e-05,             2.5293e-05
                     25,                 2.4022,                 4.9191,                  2.312,                      0,                      0,                      0,                      0,                 3.7574,                 6.2568,                 3.1843,             2.6298e-05,             2.6298e-05,             2.6298e-05
                     26,                 2.1711,                 5.0423,                 2.2462,                      0,                      0,                      0,                      0,                 3.7574,                 6.2568,                 3.1843,             2.7296e-05,             2.7296e-05,             2.7296e-05
                     27,                 2.3302,                 5.0027,                   2.47,                      0,                      0,                      0,                      0,                 3.7574,                 6.2568,                 3.1843,             2.8285e-05,             2.8285e-05,             2.8285e-05
                     28,                 2.4836,                 4.9204,                 2.2372,                      0,                      0,                      0,                      0,                 3.7058,                 6.2654,                 3.1524,             2.9267e-05,             2.9267e-05,             2.9267e-05
                     29,                 2.3227,                 5.0035,                 2.1879,                      0,                      0,                      0,                      0,                 3.7058,                 6.2654,                 3.1524,             3.0241e-05,             3.0241e-05,             3.0241e-05
                     30,                 2.2477,                 4.9285,                 2.3508,                      0,                      0,                      0,                      0,                 3.7058,                 6.2654,                 3.1524,             3.1207e-05,             3.1207e-05,             3.1207e-05
                     31,                  2.319,                 5.0815,                 2.5664,                      0,                      0,                      0,                      0,                 3.7268,                 6.2377,                 3.1603,             3.2166e-05,             3.2166e-05,             3.2166e-05
                     32,                 2.5323,                 5.2015,                 2.3923,                      0,                      0,                      0,                      0,                 3.7268,                 6.2377,                 3.1603,             3.3116e-05,             3.3116e-05,             3.3116e-05
                     33,                 2.3498,                 4.7931,                 2.5902,                      0,                      0,                      0,                      0,                 3.7268,                 6.2377,                 3.1603,             3.4059e-05,             3.4059e-05,             3.4059e-05
                     34,                  2.147,                  4.895,                 2.1915,                      0,                      0,                      0,                      0,                  3.734,                  6.246,                  3.156,             3.4993e-05,             3.4993e-05,             3.4993e-05
                     35,                 2.1411,                 4.8182,                   2.15,                      0,                      0,                      0,                      0,                  3.734,                  6.246,                  3.156,              3.592e-05,              3.592e-05,              3.592e-05
                     36,                 2.3447,                 4.8367,                 2.4166,                      0,                      0,                      0,                      0,                  3.734,                  6.246,                  3.156,             3.6839e-05,             3.6839e-05,             3.6839e-05
                     37,                 2.2101,                 5.0125,                 2.2538,                      0,                      0,                      0,                      0,                  3.734,                  6.246,                  3.156,             3.7751e-05,             3.7751e-05,             3.7751e-05
                     38,                 1.9248,                 4.7801,                  2.121,                      0,                      0,                      0,                      0,                 3.7191,                 6.2173,                 3.1662,             3.8654e-05,             3.8654e-05,             3.8654e-05
                     39,                 2.2102,                 4.8098,                 2.5051,                      0,                      0,                      0,                      0,                 3.7191,                 6.2173,                 3.1662,             3.9549e-05,             3.9549e-05,             3.9549e-05
                     40,                  2.652,                 5.2356,                 2.3034,                      0,                      0,                      0,                      0,                 3.7191,                 6.2173,                 3.1662,             4.0437e-05,             4.0437e-05,             4.0437e-05
                     41,                 1.7402,                 4.8879,                 2.1167,                      0,                      0,                      0,                      0,                 3.7191,                 6.2173,                 3.1662,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     42,                 2.3085,                 5.1056,                 2.4217,                      0,                      0,                      0,                      0,                 3.7069,                 6.2063,                  3.156,             4.2189e-05,             4.2189e-05,             4.2189e-05
                     43,                 2.2495,                 4.9575,                 2.2918,                      0,                      0,                      0,                      0,                 3.7069,                 6.2063,                  3.156,             4.3053e-05,             4.3053e-05,             4.3053e-05
                     44,                 2.0473,                 4.8671,                 2.1996,                      0,                      0,                      0,                      0,                 3.7069,                 6.2063,                  3.156,             4.3909e-05,             4.3909e-05,             4.3909e-05
                     45,                 2.1352,                  4.854,                 2.1882,                      0,                      0,                      0,                      0,                 3.7069,                 6.2063,                  3.156,             4.4757e-05,             4.4757e-05,             4.4757e-05
                     46,                  2.115,                 4.7172,                   2.31,                      0,                      0,                      0,                      0,                 3.7068,                 6.1893,                 3.1624,             4.5598e-05,             4.5598e-05,             4.5598e-05
                     47,                 1.9133,                  4.782,                 2.0312,                      0,                      0,                      0,                      0,                 3.7068,                 6.1893,                 3.1624,              4.643e-05,              4.643e-05,              4.643e-05
                     48,                 1.9411,                 4.8185,                 2.1315,                      0,                      0,                      0,                      0,                 3.7068,                 6.1893,                 3.1624,             4.7255e-05,             4.7255e-05,             4.7255e-05
                     49,                 1.9641,                 4.8477,                 2.1934,                      0,                      0,                      0,                      0,                 3.7068,                 6.1893,                 3.1624,             4.8072e-05,             4.8072e-05,             4.8072e-05
                     50,                 2.1257,                 4.8376,                 2.3171,                      0,                      0,                      0,                      0,                 3.6867,                 6.1496,                 3.1813,             4.8881e-05,             4.8881e-05,             4.8881e-05
                     51,                 1.9135,                 5.0015,                 2.0984,                      0,                      0,                      0,                      0,                 3.6867,                 6.1496,                 3.1813,             4.9682e-05,             4.9682e-05,             4.9682e-05
                     52,                 2.1628,                 4.9867,                 2.4536,                      0,                      0,                      0,                      0,                 3.6867,                 6.1496,                 3.1813,             5.0476e-05,             5.0476e-05,             5.0476e-05
                     53,                 2.1547,                 4.6808,                 2.3026,                      0,                      0,                      0,                      0,                 3.6867,                 6.1496,                 3.1813,             5.1261e-05,             5.1261e-05,             5.1261e-05
                     54,                 2.1332,                 4.8039,                 2.0938,                      0,                      0,                      0,                      0,                 3.6867,                 6.1496,                 3.1813,             5.2039e-05,             5.2039e-05,             5.2039e-05
                     55,                 2.1823,                 4.9562,                 2.3589,                      0,                      0,                      0,                      0,                 3.6375,                   6.17,                 3.1747,             5.2809e-05,             5.2809e-05,             5.2809e-05
                     56,                 1.9814,                 4.6418,                 2.1635,                      0,                      0,                      0,                      0,                 3.6375,                   6.17,                 3.1747,             5.3571e-05,             5.3571e-05,             5.3571e-05
                     57,                 1.8071,                 4.7083,                 2.1078,                      0,                      0,                      0,                      0,                 3.6375,                   6.17,                 3.1747,             5.4325e-05,             5.4325e-05,             5.4325e-05
                     58,                 2.2301,                 5.0449,                 2.4438,                      0,                      0,                      0,                      0,                 3.6375,                   6.17,                 3.1747,             5.5071e-05,             5.5071e-05,             5.5071e-05
                     59,                  1.911,                 4.6759,                 2.1562,                      0,                      0,                      0,                      0,                 3.6375,                   6.17,                 3.1747,              5.581e-05,              5.581e-05,              5.581e-05
                     60,                 2.1588,                 4.8295,                 2.2403,                      0,                      0,                      0,                      0,                 3.5907,                 6.1368,                 3.1553,              5.654e-05,              5.654e-05,              5.654e-05
                     61,                 1.7142,                 4.6584,                 2.0325,                      0,                      0,                      0,                      0,                 3.5907,                 6.1368,                 3.1553,             5.7263e-05,             5.7263e-05,             5.7263e-05
                     62,                 2.2729,                 4.9247,                 2.2195,                      0,                      0,                      0,                      0,                 3.5907,                 6.1368,                 3.1553,             5.7978e-05,             5.7978e-05,             5.7978e-05
                     63,                 2.1197,                 4.7884,                 2.2262,                      0,                      0,                      0,                      0,                 3.5907,                 6.1368,                 3.1553,             5.8685e-05,             5.8685e-05,             5.8685e-05
                     64,                  2.136,                  4.892,                  2.215,                      0,                      0,                      0,                      0,                 3.5907,                 6.1368,                 3.1553,             5.9384e-05,             5.9384e-05,             5.9384e-05
                     65,                 1.7254,                  4.741,                  2.065,                      0,                      0,                      0,                      0,                 3.5726,                 6.1127,                 3.1519,             6.0075e-05,             6.0075e-05,             6.0075e-05
                     66,                 2.5853,                 5.1322,                 2.7011,                      0,                      0,                      0,                      0,                 3.5726,                 6.1127,                 3.1519,             6.0758e-05,             6.0758e-05,             6.0758e-05
                     67,                 1.8975,                 4.7284,                 2.0115,                      0,                      0,                      0,                      0,                 3.5726,                 6.1127,                 3.1519,             6.1434e-05,             6.1434e-05,             6.1434e-05
                     68,                  2.109,                 4.8403,                 2.3223,                      0,                      0,                      0,                      0,                 3.5726,                 6.1127,                 3.1519,             6.2102e-05,             6.2102e-05,             6.2102e-05
                     69,                 2.2281,                 4.8474,                 2.4192,                      0,                      0,                      0,                      0,                 3.5726,                 6.1127,                 3.1519,             6.2762e-05,             6.2762e-05,             6.2762e-05
                     70,                 2.1578,                 5.0308,                 2.1554,                      0,                      0,                      0,                      0,                 3.5726,                 6.1127,                 3.1519,             6.3414e-05,             6.3414e-05,             6.3414e-05
                     71,                 2.0554,                 4.9382,                 2.0699,                      0,                      0,                      0,                      0,                 3.4801,                 6.1359,                 3.1139,             6.4058e-05,             6.4058e-05,             6.4058e-05
                     72,                 2.1076,                 4.9835,                 2.0171,                      0,                      0,                      0,                      0,                 3.4801,                 6.1359,                 3.1139,             6.4694e-05,             6.4694e-05,             6.4694e-05
                     73,                 2.2276,                 4.7782,                  2.274,                      0,                      0,                      0,                      0,                 3.4801,                 6.1359,                 3.1139,             6.5322e-05,             6.5322e-05,             6.5322e-05
                     74,                 2.0068,                 4.6908,                 2.0946,                      0,                      0,                      0,                      0,                 3.4801,                 6.1359,                 3.1139,             6.5943e-05,             6.5943e-05,             6.5943e-05
                     75,                 1.6833,                 4.5937,                 1.9565,                      0,                      0,                      0,                      0,                 3.4801,                 6.1359,                 3.1139,             6.6556e-05,             6.6556e-05,             6.6556e-05
                     76,                 2.1405,                 4.7389,                 2.2499,                      0,                      0,                      0,                      0,                 3.4801,                 6.1359,                 3.1139,             6.7161e-05,             6.7161e-05,             6.7161e-05
                     77,                 2.1569,                 4.8577,                 2.1191,                      0,                      0,                      0,                      0,                 3.4777,                 6.1695,                 3.1349,             6.7758e-05,             6.7758e-05,             6.7758e-05
                     78,                 1.9633,                 4.7453,                 2.1862,                      0,                      0,                      0,                      0,                 3.4777,                 6.1695,                 3.1349,             6.8347e-05,             6.8347e-05,             6.8347e-05
                     79,                 1.7751,                 4.7334,                 2.0986,                      0,                      0,                      0,                      0,                 3.4777,                 6.1695,                 3.1349,             6.8928e-05,             6.8928e-05,             6.8928e-05
                     80,                 2.1472,                 4.8974,                 2.1145,                      0,                      0,                      0,                      0,                 3.4777,                 6.1695,                 3.1349,             6.9502e-05,             6.9502e-05,             6.9502e-05
                     81,                 1.8554,                  4.697,                 2.1045,                      0,                      0,                      0,                      0,                 3.4777,                 6.1695,                 3.1349,             7.0067e-05,             7.0067e-05,             7.0067e-05
                     82,                 2.3811,                  4.818,                 2.1802,                      0,                      0,                      0,                      0,                 3.4777,                 6.1695,                 3.1349,             7.0625e-05,             7.0625e-05,             7.0625e-05
                     83,                 1.6992,                 4.7323,                 2.0706,                      0,                      0,                      0,                      0,                 3.4777,                 6.1695,                 3.1349,             7.1175e-05,             7.1175e-05,             7.1175e-05
                     84,                 1.9821,                 4.7204,                 2.1387,                      0,                      0,                      0,                      0,                 3.4338,                 6.1797,                 3.1148,             7.1717e-05,             7.1717e-05,             7.1717e-05
