                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 2.8398,                 5.0048,                 2.6868,                      0,                      0,                      0,                      0,                   3.54,                 5.9421,                 3.1204,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                 2.5733,                 5.1038,                 2.4548,                      0,                      0,                      0,                      0,                   3.54,                 5.9421,                 3.1204,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                 2.2076,                 4.9658,                 2.2972,                      0,                      0,                      0,                      0,                 3.5779,                 5.9681,                 3.1257,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                 2.6165,                 5.0717,                 2.8804,                      0,                      0,                      0,                      0,                 3.5779,                 5.9681,                 3.1257,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                 3.0156,                 5.3465,                  2.545,                      0,                      0,                      0,                      0,                 3.5779,                 5.9681,                 3.1257,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                 2.0138,                 5.1091,                 2.2898,                      0,                      0,                      0,                      0,                 3.5779,                 5.9681,                 3.1257,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                  2.803,                 5.2682,                 2.5766,                      0,                      0,                      0,                      0,                 3.5892,                 5.9503,                 3.0916,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 2.5122,                 5.2379,                 2.4961,                      0,                      0,                      0,                      0,                 3.5892,                 5.9503,                 3.0916,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                 2.3886,                 5.1062,                 2.4846,                      0,                      0,                      0,                      0,                 3.5892,                 5.9503,                 3.0916,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                 2.6176,                 5.0512,                 2.7489,                      0,                      0,                      0,                      0,                 3.5892,                 5.9503,                 3.0916,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                 2.3208,                    4.9,                 2.4847,                      0,                      0,                      0,                      0,                 3.5884,                 5.9703,                 3.0796,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                 2.2033,                 4.8735,                 2.2709,                      0,                      0,                      0,                      0,                 3.5884,                 5.9703,                 3.0796,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                 2.1521,                 4.9427,                 2.3633,                      0,                      0,                      0,                      0,                 3.5884,                 5.9703,                 3.0796,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                 2.1178,                  5.108,                 2.2565,                      0,                      0,                      0,                      0,                 3.5884,                 5.9703,                 3.0796,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                 2.3203,                 5.0425,                 2.5285,                      0,                      0,                      0,                      0,                 3.5946,                   6.01,                 3.0943,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                  2.022,                 5.2224,                 2.1801,                      0,                      0,                      0,                      0,                 3.5946,                   6.01,                 3.0943,             3.0048e-05,             3.0048e-05,             3.0048e-05
