                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8872,                 5.0088,                 2.7777,                      0,                      0,                      0,                      0,                  3.832,                 6.1491,                 3.2992,               1.19e-06,               1.19e-06,               1.19e-06
                      2,                 3.1238,                 5.2665,                 3.0048,                      0,                      0,                      0,                      0,                 3.8273,                 6.2243,                 3.3002,             3.5523e-06,             3.5523e-06,             3.5523e-06
                      3,                 2.2196,                  5.208,                 2.6687,                      0,                      0,                      0,                      0,                 3.8273,                 6.2243,                 3.3002,             5.8911e-06,             5.8911e-06,             5.8911e-06
                      4,                 2.4464,                 5.0464,                 2.5269,                      0,                      0,                      0,                      0,                  3.623,                 6.1367,                 3.2439,             8.2063e-06,             8.2063e-06,             8.2063e-06
                      5,                 2.9406,                 5.3819,                 2.6827,                      0,                      0,                      0,                      0,                  3.623,                 6.1367,                 3.2439,             1.0498e-05,             1.0498e-05,             1.0498e-05
                      6,                 2.5087,                 5.1212,                 2.9219,                      0,                      0,                      0,                      0,                 3.4954,                 6.0508,                 3.1978,             1.2766e-05,             1.2766e-05,             1.2766e-05
                      7,                 2.7758,                 5.3556,                 2.7223,                      0,                      0,                      0,                      0,                 3.4954,                 6.0508,                 3.1978,             1.5011e-05,             1.5011e-05,             1.5011e-05
                      8,                  3.295,                 5.8982,                 3.1967,                      0,                      0,                      0,                      0,                 3.4954,                 6.0508,                 3.1978,             1.7231e-05,             1.7231e-05,             1.7231e-05
                      9,                 2.9286,                 5.4705,                 2.8266,                      0,                      0,                      0,                      0,                 3.3562,                   5.92,                 3.0604,             1.9429e-05,             1.9429e-05,             1.9429e-05
                     10,                 2.6211,                 4.9579,                 2.5683,                      0,                      0,                      0,                      0,                 3.3562,                   5.92,                 3.0604,             2.1603e-05,             2.1603e-05,             2.1603e-05
                     11,                  2.839,                 5.1591,                  2.641,                      0,                      0,                      0,                      0,                 3.3562,                   5.92,                 3.0604,             2.3753e-05,             2.3753e-05,             2.3753e-05
                     12,                 2.5644,                 5.4824,                 2.5366,                      0,                      0,                      0,                      0,                 3.3562,                   5.92,                 3.0604,              2.588e-05,              2.588e-05,              2.588e-05
                     13,                 2.6329,                 5.0603,                 2.4945,                      0,                      0,                      0,                      0,                 3.2582,                 5.8945,                 3.0234,             2.7983e-05,             2.7983e-05,             2.7983e-05
                     14,                 2.6977,                 4.9955,                 2.7493,                      0,                      0,                      0,                      0,                 3.2582,                 5.8945,                 3.0234,             3.0062e-05,             3.0062e-05,             3.0062e-05
                     15,                 2.9283,                 5.2781,                 2.8931,                      0,                      0,                      0,                      0,                 3.2582,                 5.8945,                 3.0234,             3.2118e-05,             3.2118e-05,             3.2118e-05
                     16,                 2.7051,                 5.0622,                 2.6195,                      0,                      0,                      0,                      0,                 3.2582,                 5.8945,                 3.0234,             3.4151e-05,             3.4151e-05,             3.4151e-05
                     17,                 2.6325,                 5.4098,                 2.5712,                      0,                      0,                      0,                      0,                 3.2582,                 5.8945,                 3.0234,              3.616e-05,              3.616e-05,              3.616e-05
                     18,                 2.5321,                 5.6054,                 2.7459,                      0,                      0,                      0,                      0,                 3.2582,                 5.8945,                 3.0234,             3.8145e-05,             3.8145e-05,             3.8145e-05
                     19,                 2.7069,                 5.0143,                 2.8584,                      0,                      0,                      0,                      0,                 3.5066,                 5.8996,                 3.1602,             4.0107e-05,             4.0107e-05,             4.0107e-05
