                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8786,                 4.9833,                 2.8016,                      0,                      0,                      0,                      0,                 3.6296,                 6.1558,                 3.0726,                      0,                      0,                      0
                      2,                 3.1009,                 5.1299,                 3.0097,                      0,                      0,                      0,                      0,                 3.6758,                 6.0827,                 3.1751,             1.1664e-06,             1.1664e-06,             1.1664e-06
                      3,                 2.3061,                 5.0894,                 2.7377,                      0,                      0,                      0,                      0,                 3.6436,                  6.104,                 3.1664,             2.2858e-06,             2.2858e-06,             2.2858e-06
                      4,                 2.4659,                 5.0512,                 2.5445,                      0,                      0,                      0,                      0,                 3.6372,                 6.1555,                 3.1784,             3.3579e-06,             3.3579e-06,             3.3579e-06
                      5,                 3.0084,                 5.3091,                 2.6696,                      0,                      0,                      0,                      0,                 3.5924,                 6.1479,                 3.1662,              4.383e-06,              4.383e-06,              4.383e-06
                      6,                 2.4472,                  5.087,                 2.7829,                      0,                      0,                      0,                      0,                 3.5689,                 6.1268,                 3.1731,             5.3609e-06,             5.3609e-06,             5.3609e-06
                      7,                  2.863,                 5.3919,                 2.7724,                      0,                      0,                      0,                      0,                 3.5077,                 6.0821,                 3.1401,             6.2918e-06,             6.2918e-06,             6.2918e-06
                      8,                 3.0805,                 5.8049,                 3.0247,                      0,                      0,                      0,                      0,                 3.4948,                  6.088,                  3.103,             7.1755e-06,             7.1755e-06,             7.1755e-06
                      9,                  2.855,                  5.304,                 2.7612,                      0,                      0,                      0,                      0,                 3.4948,                  6.088,                  3.103,              8.012e-06,              8.012e-06,              8.012e-06
                     10,                 2.4394,                 4.9607,                 2.6407,                      0,                      0,                      0,                      0,                 3.4522,                 6.0758,                 3.1009,             8.8015e-06,             8.8015e-06,             8.8015e-06
                     11,                  2.941,                 5.2141,                 2.5641,                      0,                      0,                      0,                      0,                 3.4522,                 6.0758,                 3.1009,             9.5438e-06,             9.5438e-06,             9.5438e-06
                     12,                  2.508,                 5.5135,                 2.5468,                      0,                      0,                      0,                      0,                 3.3513,                 5.9251,                 3.0442,             1.0239e-05,             1.0239e-05,             1.0239e-05
                     13,                  2.627,                 5.1131,                 2.4622,                      0,                      0,                      0,                      0,                 3.3513,                 5.9251,                 3.0442,             1.0887e-05,             1.0887e-05,             1.0887e-05
                     14,                   2.69,                 5.0401,                 2.7593,                      0,                      0,                      0,                      0,                  3.352,                 5.9304,                  3.037,             1.1488e-05,             1.1488e-05,             1.1488e-05
                     15,                 2.8176,                 5.2744,                 2.7489,                      0,                      0,                      0,                      0,                  3.352,                 5.9304,                  3.037,             1.2042e-05,             1.2042e-05,             1.2042e-05
                     16,                 2.6354,                 5.0987,                 2.5507,                      0,                      0,                      0,                      0,                 3.2765,                  5.962,                 2.9997,             1.2549e-05,             1.2549e-05,             1.2549e-05
                     17,                 2.5558,                 5.0515,                 2.5738,                      0,                      0,                      0,                      0,                 3.2765,                  5.962,                 2.9997,             1.3008e-05,             1.3008e-05,             1.3008e-05
                     18,                 2.9138,                 5.4905,                 2.8933,                      0,                      0,                      0,                      0,                 3.2007,                 5.8928,                 2.9824,             1.3421e-05,             1.3421e-05,             1.3421e-05
                     19,                 2.5193,                 5.0062,                 2.6948,                      0,                      0,                      0,                      0,                 3.2007,                 5.8928,                 2.9824,             1.3786e-05,             1.3786e-05,             1.3786e-05
