                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8786,                 4.9833,                 2.8016,                      0,                      0,                      0,                      0,                 3.6296,                 6.1558,                 3.0726,                      0,                      0,                      0
                      2,                 3.1009,                 5.1299,                 3.0097,                      0,                      0,                      0,                      0,                 3.6758,                 6.0827,                 3.1751,             1.1802e-06,             1.1802e-06,             1.1802e-06
                      3,                 2.3061,                 5.0894,                 2.7377,                      0,                      0,                      0,                      0,                 3.6435,                  6.104,                 3.1664,             2.3407e-06,             2.3407e-06,             2.3407e-06
                      4,                 2.4658,                 5.0512,                 2.5445,                      0,                      0,                      0,                      0,                 3.6368,                 6.1556,                 3.1782,             3.4816e-06,             3.4816e-06,             3.4816e-06
                      5,                 3.0082,                 5.3091,                 2.6696,                      0,                      0,                      0,                      0,                 3.5916,                  6.148,                 3.1617,             4.6029e-06,             4.6029e-06,             4.6029e-06
                      6,                 2.4467,                 5.0868,                 2.7827,                      0,                      0,                      0,                      0,                 3.5674,                 6.1264,                 3.1727,             5.7046e-06,             5.7046e-06,             5.7046e-06
                      7,                 2.8625,                 5.3912,                 2.7719,                      0,                      0,                      0,                      0,                 3.5674,                 6.1264,                 3.1727,             6.7866e-06,             6.7866e-06,             6.7866e-06
                      8,                 3.0887,                 5.8094,                 3.0405,                      0,                      0,                      0,                      0,                  3.501,                 6.0631,                 3.1194,             7.8489e-06,             7.8489e-06,             7.8489e-06
                      9,                 2.8626,                 5.3042,                 2.7665,                      0,                      0,                      0,                      0,                  3.501,                 6.0631,                 3.1194,             8.8917e-06,             8.8917e-06,             8.8917e-06
                     10,                 2.4469,                 4.9612,                 2.6477,                      0,                      0,                      0,                      0,                  3.454,                 6.0493,                  3.108,             9.9148e-06,             9.9148e-06,             9.9148e-06
                     11,                 2.9411,                 5.2156,                 2.5638,                      0,                      0,                      0,                      0,                  3.454,                 6.0493,                  3.108,             1.0918e-05,             1.0918e-05,             1.0918e-05
                     12,                  2.508,                 5.5151,                 2.5459,                      0,                      0,                      0,                      0,                  3.346,                 5.8958,                 3.0484,             1.1902e-05,             1.1902e-05,             1.1902e-05
                     13,                 2.6254,                 5.1141,                 2.4606,                      0,                      0,                      0,                      0,                  3.346,                 5.8958,                 3.0484,             1.2866e-05,             1.2866e-05,             1.2866e-05
                     14,                 2.6913,                 5.0418,                 2.7603,                      0,                      0,                      0,                      0,                 3.3299,                  5.889,                 3.0557,             1.3811e-05,             1.3811e-05,             1.3811e-05
                     15,                 2.8188,                 5.2794,                 2.7503,                      0,                      0,                      0,                      0,                 3.3299,                  5.889,                 3.0557,             1.4736e-05,             1.4736e-05,             1.4736e-05
                     16,                 2.6304,                  5.095,                  2.543,                      0,                      0,                      0,                      0,                 3.2967,                 5.9505,                 3.0233,             1.5641e-05,             1.5641e-05,             1.5641e-05
                     17,                 2.5442,                 5.0502,                 2.5747,                      0,                      0,                      0,                      0,                 3.2967,                 5.9505,                 3.0233,             1.6527e-05,             1.6527e-05,             1.6527e-05
                     18,                 2.9252,                 5.4942,                 2.8767,                      0,                      0,                      0,                      0,                 3.2967,                 5.9505,                 3.0233,             1.7393e-05,             1.7393e-05,             1.7393e-05
                     19,                  2.525,                 5.0128,                 2.7028,                      0,                      0,                      0,                      0,                 3.2006,                 5.8315,                 3.0101,             1.8239e-05,             1.8239e-05,             1.8239e-05
                     20,                 2.6596,                 5.2538,                  2.551,                      0,                      0,                      0,                      0,                 3.2006,                 5.8315,                 3.0101,             1.9066e-05,             1.9066e-05,             1.9066e-05
                     21,                 2.9706,                 5.1373,                 2.9647,                      0,                      0,                      0,                      0,                 3.2006,                 5.8315,                 3.0101,             1.9873e-05,             1.9873e-05,             1.9873e-05
                     22,                 2.6887,                  5.024,                 2.6412,                      0,                      0,                      0,                      0,                  3.228,                 5.8369,                 3.0081,              2.066e-05,              2.066e-05,              2.066e-05
                     23,                 2.6073,                 5.0886,                  2.625,                      0,                      0,                      0,                      0,                  3.228,                 5.8369,                 3.0081,             2.1428e-05,             2.1428e-05,             2.1428e-05
                     24,                 2.7081,                   5.02,                 2.7283,                      0,                      0,                      0,                      0,                  3.228,                 5.8369,                 3.0081,             2.2177e-05,             2.2177e-05,             2.2177e-05
                     25,                 2.6831,                 5.0499,                 2.5253,                      0,                      0,                      0,                      0,                 3.3626,                 5.8863,                 3.0393,             2.2905e-05,             2.2905e-05,             2.2905e-05
                     26,                 2.4755,                 5.1905,                 2.4351,                      0,                      0,                      0,                      0,                 3.3626,                 5.8863,                 3.0393,             2.3614e-05,             2.3614e-05,             2.3614e-05
                     27,                 3.0982,                 5.3342,                 2.8914,                      0,                      0,                      0,                      0,                 3.3626,                 5.8863,                 3.0393,             2.4303e-05,             2.4303e-05,             2.4303e-05
                     28,                 2.8353,                  5.074,                 2.5273,                      0,                      0,                      0,                      0,                 3.3626,                 5.8863,                 3.0393,             2.4973e-05,             2.4973e-05,             2.4973e-05
                     29,                 2.7594,                 5.1262,                 2.5135,                      0,                      0,                      0,                      0,                 3.3237,                 5.8648,                 2.9997,             2.5623e-05,             2.5623e-05,             2.5623e-05
                     30,                 2.7461,                   5.13,                 2.6718,                      0,                      0,                      0,                      0,                 3.3237,                 5.8648,                 2.9997,             2.6253e-05,             2.6253e-05,             2.6253e-05
                     31,                 2.6863,                 5.3797,                 2.8912,                      0,                      0,                      0,                      0,                 3.3237,                 5.8648,                 2.9997,             2.6864e-05,             2.6864e-05,             2.6864e-05
                     32,                 2.8168,                  5.318,                  2.711,                      0,                      0,                      0,                      0,                 3.3237,                 5.8648,                 2.9997,             2.7455e-05,             2.7455e-05,             2.7455e-05
                     33,                 2.5439,                 4.9551,                 2.8461,                      0,                      0,                      0,                      0,                 3.4055,                 5.9034,                 3.0581,             2.8027e-05,             2.8027e-05,             2.8027e-05
                     34,                 2.6564,                 5.0198,                  2.512,                      0,                      0,                      0,                      0,                 3.4055,                 5.9034,                 3.0581,             2.8579e-05,             2.8579e-05,             2.8579e-05
                     35,                 2.3943,                 4.9791,                 2.4136,                      0,                      0,                      0,                      0,                 3.4055,                 5.9034,                 3.0581,             2.9111e-05,             2.9111e-05,             2.9111e-05
                     36,                 2.9175,                 5.0182,                 2.7134,                      0,                      0,                      0,                      0,                 3.4055,                 5.9034,                 3.0581,             2.9624e-05,             2.9624e-05,             2.9624e-05
                     37,                 2.5902,                 5.1082,                 2.4712,                      0,                      0,                      0,                      0,                 3.4113,                  5.895,                 3.0758,             3.0117e-05,             3.0117e-05,             3.0117e-05
                     38,                  2.229,                 4.9673,                   2.34,                      0,                      0,                      0,                      0,                 3.4113,                  5.895,                 3.0758,              3.059e-05,              3.059e-05,              3.059e-05
                     39,                 2.6617,                 5.1045,                 2.9491,                      0,                      0,                      0,                      0,                 3.4113,                  5.895,                 3.0758,             3.1044e-05,             3.1044e-05,             3.1044e-05
                     40,                 3.0194,                 5.3341,                 2.5801,                      0,                      0,                      0,                      0,                 3.4113,                  5.895,                 3.0758,             3.1478e-05,             3.1478e-05,             3.1478e-05
                     41,                 2.0344,                  5.162,                 2.2742,                      0,                      0,                      0,                      0,                 3.4113,                  5.895,                 3.0758,             3.1892e-05,             3.1892e-05,             3.1892e-05
                     42,                 2.8599,                 5.3003,                 2.5484,                      0,                      0,                      0,                      0,                 3.4099,                 5.8615,                 3.0407,             3.2287e-05,             3.2287e-05,             3.2287e-05
                     43,                 2.5687,                 5.2829,                 2.5587,                      0,                      0,                      0,                      0,                 3.4099,                 5.8615,                 3.0407,             3.2662e-05,             3.2662e-05,             3.2662e-05
                     44,                 2.4335,                 5.1259,                 2.5235,                      0,                      0,                      0,                      0,                 3.4099,                 5.8615,                 3.0407,             3.3017e-05,             3.3017e-05,             3.3017e-05
                     45,                 2.6479,                 5.0402,                 2.7464,                      0,                      0,                      0,                      0,                 3.4099,                 5.8615,                 3.0407,             3.3353e-05,             3.3353e-05,             3.3353e-05
                     46,                 2.3645,                 4.8976,                 2.5175,                      0,                      0,                      0,                      0,                 3.4099,                 5.8615,                 3.0407,              3.367e-05,              3.367e-05,              3.367e-05
                     47,                 2.3053,                 4.9233,                 2.3424,                      0,                      0,                      0,                      0,                 3.4211,                 5.8846,                  3.054,             3.3966e-05,             3.3966e-05,             3.3966e-05
                     48,                 2.1616,                 4.9278,                  2.355,                      0,                      0,                      0,                      0,                 3.4211,                 5.8846,                  3.054,             3.4243e-05,             3.4243e-05,             3.4243e-05
                     49,                 2.2525,                 5.1294,                 2.3264,                      0,                      0,                      0,                      0,                 3.4211,                 5.8846,                  3.054,               3.45e-05,               3.45e-05,               3.45e-05
                     50,                  2.341,                 5.0258,                 2.5416,                      0,                      0,                      0,                      0,                 3.4211,                 5.8846,                  3.054,             3.4738e-05,             3.4738e-05,             3.4738e-05
